incident_type,location,date,time,summary,disposition,interesting,month_year
Drunk in Public,Mesa Apartments - Central,7/5/24,2:42 AM,Reporting party advised friend is intoxicated and appears confused,Checks OK,t,Jul-24
Found Property,Voigt Drive / Matthews Lane,7/5/24,7:30 AM,Machete found at intersection,Report Taken,f,Jul-24
Citizen Contact,Trolley - La Jolla Health Station,7/5/24,9:22 AM,Request for directions,Service Provided,f,Jul-24
Medical Aid,Moores Cancer Center,7/5/24,12:05 PM,Lethargic patient,Referred to Other Agency,f,Jul-24
Medical Aid,Moores Cancer Center,7/5/24,12:25 PM,"Patient with low oxygen, shortness of breath",Referred to Other Agency,f,Jul-24
Traffic Hazard,Interstate 5 Switch Station,7/5/24,1:33 PM,Tire on highway,Referred to Other Agency,f,Jul-24
Medical Aid,Natatorium,7/5/24,1:43 PM,"Per lifeguard, small child was drowning, already out of water, no having stomach pain",Checks OK,f,Jul-24
Outside Agency Assist,La Jolla Village Drive/Villa La Jolla Drive,7/5/24,2:40 PM,"Officer assisted San Diego Police with arrest of suspect for throwing rocks at first responders, original call was for an unhoused male who possibly opened a water valve, water gushing and spraying into air",Referred to Other Agency,t,Jul-24
Petty Theft - Micro Mobility Device,Kaleidoscope,7/5/24,12:00 AM - 1:15 PM,"Unsecured electric scooter stolen, loss $799.00",Online Report Filed,f,Jul-24
Disturbance,Exchange,7/5/24,3:00 PM,"Non-affiliate male camping inside restroom, was refusing to leave and made verbal threats towards staff members",Gone on Arrival,t,Jul-24
Campus Security Authority Report,UCSD Medical Center - Hillcrest,7/5/24,5:15 PM,Campus Security Authority Report (CSA) - Simple assault,CSA Report Filed,f,Jul-24
Information,Pacific Hall,7/5/24,7:48 PM,Card reader not working,Referred to Other UCSD Department,f,Jul-24
Welfare Check,Interstate 5 Ramp,7/5/24,10:06 PM,"Reporting party received text from daughter saying ""she is really scared,"" daughter in vehicle with father driving towards San Diego from Anaheim",Referred to Other Agency,t,Jul-24
Medical Aid,Cuzco House,7/5/24,10:57 PM,Person possibly ill inside room,Referred to Other Agency,t,Jul-24
Information,ACTRI,7/5/24,11:42 PM,"Uber driver became ill after picking up a package, requesting for San Diego Police to check package",Referred to Other Agency,f,Jul-24
Attempted Assault,UCSD Medical Center - Hillcrest,7/5/24,10:29 AM,Patient being disruptive,Incident Report Generated,f,Jul-24
Noise Disturbance,Marea,7/6/24,12:05 AM,People laughing and screaming,Referred to Student Conduct,f,Jul-24
Assist Other Agency,Trolley - La Jolla Health Station,7/6/24,12:37 AM,"San Diego Fire Department responding to medical aid call, advised elevator is off and can't get gurney up to platform",Referred to Other UCSD Department,f,Jul-24
Information,Scripps Memorial Hospital,7/6/24,1:04 AM,Unknown caller claimed to be a patien and stated there was a problem on 4th floor of hospital,Checks OK,t,Jul-24
Fire Alarm,Mandeville Center,7/6/24,5:31 AM,No smoke or fire,Checks OK,f,Jul-24
Vandalism,Mandeville Center,7/6/24,Unknown,"Grafitti on metal signs and wall, damage $50.00",Report Taken,f,Jul-24
Disturbance,Thornton Pavilion,7/6/24,7:58 AM,Male refusing to leave after found sleeping in hallway,Checks OK,t,Jul-24
Found Property,Sea Port Village,7/6/24,2:00 PM,Security Office advising student wallet found,Service Provided,f,Jul-24
Attempt to Contact,Mesa Apartments South,7/6/24,7:17 PM,"Per reporting party, daughter not answering door or phone for 1 hour, should be there for pick- up",Cancelled,t,Jul-24
Mental Health Detention,Trolley - Central Campus Station,7/7/24,12:03 AM,Non-affiliate male having suicidal ideations,Transported to Hospital,f,Jul-24
Suspicious Person,Viento,7/7/24,12:59 AM,Subject sleeping on bench,Field Interview,f,Jul-24
Suspicious Person,Black Apartments,7/7/24,2:57 AM,Subject stating he is lost,Will Cooperate,f,Jul-24
UC Policy Violation,Douglas Apartments,7/7/24,3:12 AM,Odor of marijuana coming from outside of building,Unable to Locate,f,Jul-24
Suspicious Person,"One Miramar Street, Building 2",7/7/24,3:35 AM,Subject carrying a mattress they took from the dumpster,Gone On Arrival,f,Jul-24
Stay Away Order Issuance,North East Embankment,7/7/24,9:21 AM,Subject possibly under the influence laying down in hiking trail,Stay Away Order Issued,t,Jul-24
Petty Theft,Stein Clinical Research Building,7/7/24,8:00 AM - 10:00 AM,"Secured bicycle stolen, loss $150.00",Online Report Report Filed,f,Jul-24
Suspicious Person,Triton Stadium,7/7/24,10:24 AM,Subject trying to get through fence next to ticket booth,Disposition Field Interview,f,Jul-24
Medical Aid,Rue Michael,7/7/24,1:13 PM,Female requesting paramedics,Referred to Other Agency,f,Jul-24
Domestic Dispute Incident,UCSD Residential Area,7/7/24,6:29 PM,"Verbal altercation only, female reporting party stated she was scared of boyfriend who had yelled at her",Report Taken,t,Jul-24
Medical Aid,Brown Hall,7/7/24,7:28 PM,Fast heart rate,Checks OK,f,Jul-24
Mental Health Detention,VA Hospital,7/7/24,10:01 PM,Non-affiliate male called 911 and advised he was having suicidal ideations,Transported to Hospital,f,Jul-24
Suspicious Person,Parking Lot P406,7/7/24,10:20 PM,Took couch from parking lot dumpster,Field Interview,f,Jul-24
Disturbance,UCSD Medical Center - Hillcrest,7/7/24,7:25 PM,Patient spat on security agent,Incident Report Generated,t,Jul-24
Information,Tdlln - Podemos,7/8/24,4:21 AM,"Per University Safety Official, can hear system trouble alarm",Referred to Other UCSD Department,f,Jul-24
Collision Counter Report,Parking Lot P761,7/8/24,12:00 PM,UC Vehicle vs Privately owned vehicle,Report Taken,f,Jul-24
Burglary,Torrey Pines Center North,7/8/24,4:00 PM - 10:00 AM,"Unknown suspect(s) forcefully entered storage room located in parking structure, unknown if anything missing at this time",Report Taken,t,Jul-24
Found Property,Campo Road,7/8/24,10:57 AM,Found wallet,Service Provided,f,Jul-24
Welfare Check,Piedra,7/8/24,12:04 PM,"Reporting party advised son's cell phone pinged at beach overnight, not responding to messages or emails",Checks Ok,f,Jul-24
Warrant Arrest,Galbraith Hall,7/8/24,Unknown,Non-Affiliate was contacted during a consensual encounter and found to have an outstanding warrant,Disposition Closed By Adult Arrest,t,Jul-24
Citizen Contact,Mesa Apartments Central,7/8/24,4:18 PM,Regarding child custody violation off campus,Referred to Other Agency,f,Jul-24
Welfare Check,Martin Johnson House,7/8/24,4:38 PM,Report of male having suicidal ideations,Checks Ok,f,Jul-24
Medical Aid,Koman Family Outpatient,7/8/24,7:07 PM,Patient needs medical transport to emergency room,Referred to Other Agency,f,Jul-24
Stay Away Order Issuance,Parking Lot P386,7/8/24,9:48 PM,Non-Affiliate sleeping inside vehicle,Report Taken,f,Jul-24
Suspicious Vehicle,Early Childhood Education,7/8/24,10:02 PM,"Occupied vehicle parked in middle of parking lot for last 3 to 4 hours, engine running and headlights on",Checks Ok,f,Jul-24
Noise Disturbance,Capa,8/29/24,12:32 AM,Loud group in fire pit area,Checks OK,f,Aug-24
Noise Disturbance,Mesa Apartments - Central,7/9/24,12:29 AM,Loud music outside of building,Will Cooperate,f,Jul-24
Suspicious Vehicle,Isaacs Hall,7/9/24,1:35 AM,Subject sleeping in vehicle,Will Cooperate,f,Jul-24
Medical Aid,Biomedical Sciences Building,7/9/24,7:57 AM,Adult male possibly having stroke,Referred to Other Agency,f,Jul-24
Citizen Assist,Chula Vista (Unknown Address),7/9/24,11:14 AM,"Reporting party's currently in emergency room, advised stove still running at home",Referred to Other Agency,t,Jul-24
Citizen Assist,Trolley - La Jolla Health Station,7/9/24,11:59 AM,Overheated Shuttle,Checks OK,f,Jul-24
Petty Theft,Powell- Focht Bioengineering Hall,7/9/24,Unknown,"Victim's unsecured backpack containing Ipad and Mac Book laptop stolen, loss $475.07",Report Taken,f,Jul-24
Grand Theft - Micro Mobility Device,9249 Scholars Drive South,7/9/24,4:05 AM,"Four Spin electric scooters stolen, loss $2,400.00",Report Taken,f,Jul-24
Appropriate Lost Property/ Drug Law Violations/ Stay Away Order Issuance,Exchange,7/9/24,2:35 PM - 3:41 PM,Non-affiliate male contacted for matching description of subject reported to have used bolt cutters to gain access to bicycles on campus,Closed By Adult Arrest,t,Jul-24
Stay Away Order Issuance,Astilla,7/9/24,2:49 PM,Male sleeping with hand in pants outside of the building,Report Taken,f,Jul-24
Domestic Dispute Incident,Mesa Canyon Parking,7/9/24,4:40 PM,"Reporting party saw male driving erratically and yelling at female passenger, verbal argument only, San Diego Police already responding",Referred to Other Agency,t,Jul-24
Hazard Situation,Villa La Jolla Drive,7/9/24,5:30 PM,Non-Affiliate walking into traffic to wash vehicle windows,Referred to Other Agency,f,Jul-24
Injury,Prospect Place,7/9/24,9:31 PM,Intoxicated female fell to the ground and is bleeding; conscious and breathing,Referred to Other Agency,t,Jul-24
Suspicious Person,Roger's Place and Market,7/9/24,10:00 PM,Unknown subject charging his electronics in the corner,"Closed By Citation, Adult",t,Jul-24
Noise Disturbance,Brisa on Miramar,7/9/24,10:15 PM,Loud group outside near the BBQ area outside of community room,Checks OK,f,Jul-24
Simple Assault,UC San Diego Health East Campus Medical Center,7/9/24,1:34 AM,Patient assaulted staff member,Referred to Other Agency,t,Jul-24
Trespass,Canyonview Aquatic & Climbing Wall Facility,7/10/24,1:17 PM,Subject walking around in area,Checks OK,f,Jul-24
Disturbance,Interstate 5 Northbound/ Interstate 805 Northbound,7/10/24,9:08 AM,Two male motorists fighting,Referred to Other Agency,f,Jul-24
Welfare Check,Old Scripps Building,7/10/24,10:43 AM,"Male talking to self, sitting near kids attending camp",Service Provided,t,Jul-24
Grand Theft - Micro Mobility Device,Neighborhood - Central Mesa,7/10/24,4:53 PM,"Five Spin electric scooters stolen, loss $3,000.00",Report Taken,f,Jul-24
Grand Theft - Micro Mobility Device,9383 Discovery Way,7/10/24,3:10 PM,"Four Spin electric scooters stolen, loss $2,400.00",Report Taken,f,Jul-24
Fire Alarm,East Campus Office Building,7/10/24,1:13 PM,No signs of smoke or fire,Referred to Other Agency,f,Jul-24
Injury,RIMAC,7/10/24,1:34 PM,Female fell down steps and possibly injured leg,Referred to Other Agency,f,Jul-24
Welfare Check,Capa,7/10/24,2:16 PM,Unconscious adult male sitting on concrete bench,Referred to Other Agency,t,Jul-24
Disturbance,La Jolla Village Drive/ Villa La Jolla Drive,7/10/24,3:06 PM,Unhoused subject with squeegee being aggressive,Referred to Other Agency,t,Jul-24
Recovered Stolen Vehicle,Fashion Valley,7/10/24,3:06 PM,San Diego Police recovered vehicle from UCSD Police stolen vehicle report 2024-1396,Information Only,f,Jul-24
Suspicious Person,South Parking Structure,7/10/24,4:09 PM,"Reporting party stated there is a violent and aggressive male in white vehicle, screaming at her, causing her to move her vehicle due to feeling unsafe",Unable to Locate,t,Jul-24
Traffic Hazard,Interstate 5 Southbound Off Ramp/ La Jolla Village Drive,7/10/24,5:28 PM,Wheelchair in roadway,Referred to Other Agency,f,Jul-24
Theft,Halicioglu Data Science Institute,7/10/24,5:54 PM,"Gift cards stolen from unlocked lab room, loss $560.00",Online Report Filed,f,Jul-24
Injury,Target - Price Center West,7/10/24,6:29 PM,Male student fell off bike and sustained injury,Transported to Hospital,f,Jul-24
Citizen Assist,Torrey Pines Road,7/10/24,8:34 PM,"Reporting party was walking to her vehicle and there was an unhoused male next to it, requesting to stay on phone with dispatch until she drives away",Service Provided,f,Jul-24
Verbal Threats,UCSD Medical Center - Hillcrest,7/10/24,1:24 PM,Psych patient made threat towards staff member,Incident Report Generated,t,Jul-24
Disorderly Conduct: Alcohol,Black Apartments,7/11/24,1:58 AM,Detainee contacted following a report of a subject who was intoxicated and acting belligerent by breaking things and stabbing knife into floor,Transported to Hospital,t,Jul-24
Excessive Alcohol,Brennan Apartments,7/11/24,2:23 AM,Intoxicated male found out and laying on ground in front of building,Transported to Hospital,t,Jul-24
Stay Away Order Issuance,Leichtag Family Foundation Biomedical Research,7/11/24,9:21 AM,Non-affiliate male observed defecating in middle of roadway,Disposition Closed By Other Means,t,Jul-24
Medical Aid,Shiley Eye Institute,7/11/24,10:39 AM,Female with abdominal pain,Referred to Other Agency,f,Jul-24
Information,Trolley - La Jolla Health Station,7/11/24,11:17 AM,Caller requesting unhoused male be told to pull his pants up,Information Only,t,Jul-24
Citizen Contact,UCSD Police Department,7/11/24,12:05 PM,Property pick-up,Service Provided,f,Jul-24
Welfare Check,Gilman Parking Structure,7/11/24,3:01 PM,"Parking received email from student who is upset about a citation, and made a suicidal statement in the email",Unable to Locate,t,Jul-24
Disturbance,La Jolla Village Dr/Villa La Jolla Dr,7/11/24,3:10 PM,Male cleaning vehicle windows and getting aggressive,Referred to Other Agency,f,Jul-24
Citizen Contact,UCSD Police Department,7/11/24,3:15 PM,Property pick-up,Service Provided,f,Jul-24
Disturbance,Villa La Jolla Dr,7/11/24,3:20 PM,Male attempting to wash vehicle windows and swinging window wiper as vehicles drive by,Referred to Other Agency,f,Jul-24
Welfare Check,Cuzco House,7/11/24,4:59 PM,"Female left class and did not return, called boyfriend and expressed suicidal ideations",Referred to Other UCSD Agency,t,Jul-24
Campus Security Authority Report,Seventh College,7/11/24,5:00 PM - 5:00 PM,Campus Security Authority Report (CSA): Stalking,CSA Report Filed,f,Jul-24
Mental Health Detention: Attempted Suicide,La Jolla Innovation Center,7/11/24,5:21 PM,Female from previous welfare check found unconscious,Transported to Hospital,f,Jul-24
Welfare Check,La Jolla Del Sol Apartments,7/11/24,5:27 PM,"Two toddlers in pool area without any clothes on, running around",Checks OK,f,Jul-24
Citizen Flagdown,Rita Atkinson Residences,7/11/24,8:31 PM,Subject can't find their vehicle,Service Provided,f,Jul-24
Disturbance,Executive Drive/Genesee Avenue,7/11/24,9:03 PM,Reporting party advised he had to pepper spray 3 subjects who were threatening him,Referred to Other Agency,t,Jul-24
Outside Agency Courtesy Report: Grand Theft,Torrey Pines Gliderport - Public Lot,7/11/24,9:25 PM - 10:29 PM,"Theft from vehicle, loss $8,400.00",Referred to Other Agency,f,Jul-24
Suspicious Person,Joan & Irwin Jacobs La Jolla Playhouse,7/11/24,11:30 PM,Non-affiliate male sitting on bench between location and Wagner,Will Cooperate,t,Jul-24
UC Policy Violation,Artesa,7/11/24,11:31 PM,Cigarette smoking,Referred to Student Conduct,f,Jul-24
Mental Health Detention/ Trespass: Rail Transit Property,Trolley - Central Campus Station,2/23/24,8:48 PM - 11:22 PM,Officer observed male subject walking on trolley tracks,Transported to Hospital,t,Feb-24
Disturbance,Oceania Hall,2/23/24,10:00 PM,Stomping and screaming heard along with items being thrown,Referred to Student Conduct,f,Feb-24
Weapons Law and Drug Violation Arrest,Kaleidoscope,2/24/24,Unknown,Non-affiliate male contacted after being reported for trespassing inside 3rd floor elevator lobby,Closed By Adult Arrest,f,Feb-24
Noise Disturbance,Argo Hall,2/24/24,2:22 AM,Loud screaming heard for the past 20-30 minutes,Referred to Student Conduct,f,Feb-24
Suspicious Person,East Campus Office Building,2/24/24,3:23 AM,Officer initiated; non-affiliate on campus during curfew hours,"Closed By Citation, Adult",f,Feb-24
Preserve the Peace,Matthews Apartments C,2/24/24,3:34 AM,Roommate took keys and refuses to give them back,Checks OK,t,Feb-24
Discharging a Firearm,Parking Lot P002,2/24/24,Unknown,Unknown suspect discharged 11 rounds from an unknown firearm in parking lot,Disposition Report Taken,t,Feb-24
Attempt to Contact,Mesa Verde Hall,2/24/24,5:51 AM,Caller requesting a welfare check on her daughter,Checks OK,f,Feb-24
Suspicious Person,Matthews Apartments,2/24/24,7:47 AM,Unknown subject has been banging on reporting party's door for the past 10 minutes,Service Provided,t,Feb-24
Suspicious Person,Halicioglu Data Science Institute,2/24/24,8:44 AM,Unhoused male wandering inside building,Unable to Locate,f,Feb-24
Non Injury Collision,Parking Lot P703,2/24/24,Unknown,UC Regents vs UC Property,Report Taken,f,Feb-24
Medical Aid,Shiley Eye Institute,2/24/24,10:57 AM,Patient passed out,Referred to Other Agency - San Diego Fire Department,f,Feb-24
Suspicious Circumstance,Israni Biomedical Research Facility,2/24/24,11:39 AM,"Unknown subject sent email to faculty member, stating they have ideations of mass killing Americans",Report Taken,t,Feb-24
Medical Aid,Blacks Beach,2/24/24,4:29 PM,"Male stung by stingray, bleeding",Service Provided,t,Feb-24
Petty Theft,Trolley - Central Campus Station,2/24/24,7:19 PM,Possible scooter theft in progress,Gone on Arrival,f,Feb-24
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,2/24/24,Unknown,"Secured electric scooter stolen, loss $260.00",Report Taken,f,Feb-24
UC Policy Violation,Matthews Apartments B,2/24/24,11:04 PM,Smoking contact,Referred to Student Conduct,f,Feb-24
Marijuana Contact,International Lane,2/24/24,11:54 PM,Strong odor of marijuana,Unable to Locate,f,Feb-24
Aggravated Assault,UCSD Medical Center  - Hillcrest,2/24/24,3:35 PM,Patient spat of face of security agency and kicked in rib area possibly causing fracture,Referred to Other Agency - San Diego Police Department,t,Feb-24
Fire Alarm,UCSD Medical Center  - Hillcrest,2/24/24,3:07 PM,Burnt food inside cafeteria microwave,Checks OK,f,Feb-24
Excessive Alcohol/Drug: Public Overintoxication,Tuolumne Apartments,2/25/24,12:04 AM,Male student under influence of alcohol unresponsive inside restroom,Transported to Hospital,t,Feb-24
Disturbance - Argument,Earth Hall,2/25/24,12:46 AM,Verbal altercation between roommates and guest,Referred to Student Conduct,f,Feb-24
Petty Theft - Micro Mobility Device,Mandeville Center,2/25/24,6:27 PM - 12:40 AM,"Secured electric scooter stolen, loss $270.00",Online Report,f,Feb-24
Noise Disturbance,Piedra,2/25/24,12:58 AM,Loud banging noises heard,Referred to Student Conduct,f,Feb-24
Smoke Check,Neighborhood - Roosevelt,2/25/24,2:08 AM,Report of odor of smoke in area,Unable to Locate,f,Feb-24
Suspicious Person,Structural & Material Engineering Building,2/25/24,4:29 AM,"Report of adult male wearing all black, holding an unknown object, last seen walking towards trolley",Disposition Unable to Locate,f,Feb-24
Citizen Flagdown,Voigt Drive/North Point Lane,2/25/24,8:40 AM,Report of vehicle vandalism that occurred off campus,Referred to Other Agency - San Diego Police Department,f,Feb-24
Information,Sheila & Hughes Potiker Theater,2/25/24,9:22 AM,Reporting party advised they accidentally set off security alarm,Information Only,f,Feb-24
Battery - Simple Assault,Jacobs Medical Center,2/25/24,8:00 AM,"Patient hit nurse, no report desired",Information Only,t,Feb-24
Illegal Camping,Social Sciences Building,2/25/24,2:20 PM,Reporting party found a subject camping inside 2nd floor unisex restroom,Will Cooperate,t,Feb-24
Petty Theft - Micro Mobility Device,La Jolla Del Sol Apartments,2/25/24,Unknown,"Secured electric bicycle stolen, loss $900.00",Report Taken,f,Feb-24
Information,Library Walk,2/25/24,3:44 PM,Bollards missing,Referred to Other UCSD Department - Central Plant,f,Feb-24
Petty Theft - Micro Mobility Device,Canyon Vista,2/25/24,12:30 PM - 3:45 PM,"Secured electric scooter stolen, loss $700.00",Online Report,f,Feb-24
Gas/Water/Sewer Leak,Tapestry,2/25/24,5:27 PM,Reporting party advised there is an odor of natural gas inside their unit,Unfounded,f,Feb-24
Citizen Assist,Price Center West - Target,2/25/24,8:36 PM,Reporting party believes they have located their previously reported stolen scooter,Service Provided,f,Feb-24
Battery - Simple Assault,UCSD Medical Center - Hillcrest,2/25/24,10:32 PM,Patient hit nurse's assistant and scratched arm and spat in face of nurse,Referred to Other Agency - San Diego Police Department,t,Feb-24
Fire Alarm,Miramar Street,2/28/24,6:32 PM,Burnt food,Referred o Other UCSD Department - Housing Maintenance,f,Feb-24
Noise Disturbance,Tapestry,6/8/24,1:14 AM,Occupants in room screaming,Quiet On Arrival,f,Jun-24
Noise Disturbance,La Jolla Del Sol Apartments,7/12/24,12:21 AM,Citizens having a loud conversation on balcony,Will Cooperate,f,Jul-24
Suspicious Person,Justice Lane,7/12/24,1:37 AM,Caller saw a male subject looking into vehicle with flashlight,Checks Ok,f,Jul-24
Assist Other Agency,Thornton Pavilion,7/12/24,3:31 AM,San Diego Police requesting UCSD Police respond to report of stabbing to evaluate actual location of crime,Service Provided,f,Jul-24
Suspicious Person,Jacobs Hall,7/12/24,10:41 AM,Subject loitering in the building,Checks Ok,f,Jul-24
Non Injury Collision,Parking Lot 704,7/12/24,11:23 AM,"UCSD vehicle versus guardrail , no injuries with minor damage",Service Provided,f,Jul-24
Injury,Argo Hall,7/12/24,11:36 AM,"Subject tripped and fell , injured shoulder",Report Taken,f,Jul-24
Information,Warren On Voigt Dr.,7/12/24,12:34 PM,"Caller believes she was followed by a vehicle yesterday from the freeway to UCSD residential area, requesting documentation only",Disposition Information Only,f,Jul-24
Unknown Trouble,Marine Conservation & Technology Facility,7/12/24,1:17 PM,Male advising he was being followed by another male subject,Unable To Locate,t,Jul-24
Medical Aid,Voigt Dr/ Matthews Lane,7/12/24,1:21 PM,"Male motorist in stopped vehicle, advising he is having a heart attack",Referred to Other Agency,f,Jul-24
Petty Theft,Marshall Upper Apartments,7/12/24,1:15 PM,"Unknown subject took 2 wooden recliner chairs, total value is $160.00",Report Taken,f,Jul-24
Welfare Check,Downwind Way,7/12/24,4:12 PM,Bicyclist down,Service Provided,t,Jul-24
Unknown Trouble,Trolley-Central Campus Station,7/12/24,4:31 PM,Female voice heard asking for help,Unable To Locate,t,Jul-24
Information,9500 Gilman Drive,7/12/24,6:22 PM,Via 911; caller requesting information on how to file a police report with San Diego Police,Referred to Other Agency,f,Jul-24
Drunk Driving,Interstate 5 Local Bypass Northbound,7/12/24,8:23 PM,"Motorist of truck, possibly driving under the influence",Referred to Other Agency,f,Jul-24
Welfare Check,Trolley- La Jolla Health Station,7/12/24,9:46 PM,Out of state caller believes female in area is having a mental breakdown,Checks OK,t,Jul-24
UC Policy Violation,Artesa,7/12/24,10:13 PM,Odor of cigarettes coming from an upstairs window,Checks OK,f,Jul-24
Welfare Check,Trolley Central Campus Station,7/12/24,10:58 PM,Subject loitering in the trolley area with no sense of direction,Field Interview,f,Jul-24
UCSD Medical Center Hillcrest,Simple Assault/ Non Clery Crime,7/12/24,9:18 PM,"Patient threw an object at a staff member, hitting the staff member on the leg",Incident Report Generated,t,Jul-24
